index,Leg1CF,Leg2CF,V(xt(-0.1)),V(xt(0)),V(xt(0.4)),Leg1Rate(xt(-0.1)),Leg1Rate(xt(0)),Leg1Rate(xt(0.4)),Leg2Rate(xt(-0.1)),Leg2Rate(xt(0)),Leg2Rate(xt(0.4)),Leg1_Payoff_FwdMsr,Leg2_Payoff_FwdMsr,DiscountFactor,ResultPrice,Leg1_DiscCurveName,Leg1_EstCurveName,Leg2_DiscCurveName,Leg2_EstCurveName,OptionDeclare,OptionPayment,dPdx,dPdy,DeltaTerm,DeltaPV01,DeltaPV01Gamma,VegaT1,VegaT2,VegaHW1,VegaFRTBHW1,PV01Term,PV01
20250331,54.6,-2.4932,14670.19,885.04,-2017.36,-0.071,0.0283,0.4457,-0.071,0.0283,0.4457,54.6,-2.4932,0.9979,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0027,0.0,0.0,0.0028,21.5835,0.977,67.9198,0.0027,0.0
20250630,54.6,68.0213,14755.63,813.94,-2094.88,-0.0729,0.0264,0.4439,-0.0729,0.0264,0.4439,54.6,68.0225,0.9909,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0055,0.0291,0.0582,1.0,20.5863,2.1968,156.1301,0.0055,0.0291
20250901,0.0,0.0,14615.16,817.38,-1047.5,-0.0738,0.0254,0.4426,-0.0738,0.0254,0.4426,0.0,0.0,0.9864,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.2548,0.009,0.018,2.0,19.5863,1.9247,138.1162,0.2548,0.009
20250929,54.6,63.2956,14656.31,812.88,-1049.58,-0.074,0.0252,0.4423,-0.074,0.0252,0.4423,54.6,63.2969,0.9845,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.5068,0.0,0.0001,3.0,18.5863,1.5685,107.9487,0.5068,0.0
20251229,54.6,60.3413,14547.01,806.72,-4137.35,-0.0743,0.025,0.442,-0.0743,0.025,0.442,54.6,60.3426,0.9783,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.7562,-0.0055,-0.0111,4.0,17.5863,1.2841,88.3769,0.7562,-0.0055
20260330,54.6,59.7134,14432.89,797.13,-3119.58,-0.0743,0.025,0.4423,-0.0743,0.025,0.4423,54.6,59.7147,0.9723,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,1.0027,-0.0041,-0.0081,5.0,16.5863,1.0545,72.5759,1.0027,-0.0041
20260629,54.6,59.7773,14317.23,786.75,-2093.34,-0.0746,0.0246,0.4419,-0.0746,0.0246,0.4419,54.6,59.7787,0.9662,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,1.5123,-0.0495,-0.099,6.0,15.5863,0.8627,59.3715,1.5123,-0.0495
20260828,0.0,0.0,14156.77,781.65,-1053.81,-0.0746,0.0246,0.4424,-0.0746,0.0246,0.4424,0.0,0.0,0.9624,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,2.0027,-0.0609,-0.1217,7.0,14.5863,0.7008,48.2283,2.0027,-0.0609
20260929,55.2,59.4319,14200.71,776.2,-1056.08,-0.0747,0.0245,0.4416,-0.0747,0.0245,0.4416,55.2,59.4332,0.9603,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,3.0082,-0.1239,-0.2478,8.0,13.5863,0.6016,41.4022,3.0082,-0.1239
20261229,54.6,58.6715,14077.83,764.88,-4133.73,-0.0748,0.0244,0.4412,-0.0748,0.0244,0.4412,54.6,58.6728,0.9545,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,4.0055,-0.1402,-0.2804,9.0,12.5863,2.7446,262.2194,4.0055,-0.1402
20270329,54.0,57.714,13954.65,753.28,-3117.07,-0.0744,0.0248,0.4422,-0.0744,0.0248,0.4422,54.0,57.7153,0.9487,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,5.0055,-0.1581,-0.3162,,,,,5.0055,-0.1581
20270629,55.2,60.0329,13836.84,741.36,-2104.63,-0.0746,0.0247,0.442,-0.0746,0.0247,0.442,55.2,60.0343,0.9428,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,6.0055,-0.1615,-0.3231,,,,,6.0055,-0.1615
20270827,0.0,0.0,13669.5,736.49,-1053.98,-0.0746,0.0246,0.4424,-0.0746,0.0246,0.4424,0.0,0.0,0.9391,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,7.0082,-0.166,-0.3319,,,,,7.0082,-0.166
20270929,55.2,59.6502,13713.23,731.2,-1056.32,-0.0747,0.0245,0.4416,-0.0747,0.0245,0.4416,55.2,59.6515,0.937,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,8.0137,-0.1728,-0.3456,,,,,8.0137,-0.1728
20271229,54.6,58.6233,13586.19,721.38,-4149.44,-0.0746,0.0247,0.4417,-0.0746,0.0247,0.4417,54.6,58.6246,0.9313,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,9.011,-0.1982,-0.3965,,,,,9.011,-0.1982
20280329,54.6,58.9899,13460.81,711.46,-3133.46,-0.0737,0.0255,0.4429,-0.0737,0.0255,0.4429,54.6,58.9912,0.9256,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,10.0082,-0.3295,-0.659,,,,,10.0082,-0.3295
20280629,55.2,61.7792,13338.8,702.06,-2108.62,-0.0737,0.0256,0.443,-0.0737,0.0256,0.443,55.2,61.7804,0.9197,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,12.011,-0.5167,-1.0334,,,,,12.011,-0.5167
20280901,0.0,0.0,13178.63,699.22,-1056.72,-0.0737,0.0256,0.4427,-0.0737,0.0256,0.4427,0.0,0.0,0.9156,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,15.0137,-0.784,-1.5681,,,,,15.0137,-0.784
20280929,55.2,61.883,13215.35,695.17,-1058.79,-0.0737,0.0256,0.4428,-0.0737,0.0256,0.4428,55.2,61.8843,0.9138,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,20.0192,-2.1934,-4.3868,,,,,20.0192,-2.1934
20281229,54.6,61.3104,13089.57,688.78,-4163.85,-0.0737,0.0256,0.4425,-0.0737,0.0256,0.4425,54.6,61.3116,0.908,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,25.0247,-0.6914,-1.3828,,,,,25.0247,-0.6914
20290329,54.0,60.5937,12964.06,682.52,-3145.39,-0.0738,0.0254,0.4428,-0.0738,0.0254,0.4428,54.0,60.5949,0.9024,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,30.0219,0.0,0.0,,,,,30.0219,0.0
20290629,55.2,61.6098,12842.13,675.96,-2130.33,-0.0738,0.0255,0.4426,-0.0738,0.0255,0.4426,55.2,61.6111,0.8966,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20290830,0.0,0.0,12675.9,673.72,-1078.52,-0.0738,0.0255,0.4429,-0.0738,0.0255,0.4429,0.0,0.0,0.8928,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20290928,54.6,60.9744,12712.36,669.75,-1080.7,-0.0738,0.0255,0.4426,-0.0738,0.0255,0.4426,54.6,60.9757,0.891,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20291001,0.0,0.0,12474.97,675.72,-1080.93,-0.0738,0.0255,0.4429,-0.0738,0.0255,0.4429,0.0,0.0,0.8908,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20291231,56.4,63.0221,12587.76,663.41,-4168.01,-0.0737,0.0256,0.442,-0.0737,0.0256,0.442,56.4,63.0233,0.8851,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20300329,52.8,59.3776,12447.09,658.17,-3114.52,-0.0732,0.0261,0.4433,-0.0732,0.0261,0.4433,52.8,59.3787,0.8797,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20300628,54.6,62.4889,12326.51,652.77,-2123.56,-0.0731,0.0261,0.4441,-0.0731,0.0261,0.4441,54.6,62.4901,0.874,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20300828,0.0,0.0,12161.37,652.89,-1082.21,-0.0731,0.0262,0.4437,-0.0731,0.0262,0.4437,0.0,0.0,0.8702,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20300930,56.4,64.7308,12201.92,648.8,-1084.76,-0.0731,0.0262,0.4434,-0.0731,0.0262,0.4434,56.4,64.7321,0.8682,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20301230,54.6,62.8272,12064.85,646.04,-4138.35,-0.073,0.0263,0.4435,-0.073,0.0263,0.4435,54.6,62.8284,0.8626,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20310331,54.6,62.9964,11934.76,643.29,-3118.8,-0.0729,0.0263,0.4436,-0.0729,0.0263,0.4436,54.6,62.9976,0.8569,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20310630,54.6,63.1702,11803.82,640.99,-2089.57,-0.0729,0.0264,0.4439,-0.0729,0.0264,0.4439,54.6,63.1714,0.8513,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20310901,0.0,0.0,11638.97,642.48,-1047.51,-0.0728,0.0265,0.4437,-0.0728,0.0265,0.4437,0.0,0.0,0.8475,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20310929,54.6,63.3407,11672.11,639.43,-1049.63,-0.0728,0.0265,0.4437,-0.0728,0.0265,0.4437,54.6,63.3419,0.8458,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20311229,54.6,63.5046,11539.45,638.45,-4162.71,-0.0728,0.0265,0.4437,-0.0728,0.0265,0.4437,54.6,63.5059,0.8402,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20320329,54.6,63.5444,11405.72,637.75,-3142.81,-0.0729,0.0264,0.4439,-0.0729,0.0264,0.4439,54.6,63.5457,0.8347,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20320629,55.2,64.0335,11271.67,637.23,-2113.44,-0.0728,0.0265,0.444,-0.0728,0.0265,0.444,55.2,64.0348,0.8292,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20320830,0.0,0.0,11099.88,639.96,-1059.01,-0.0728,0.0265,0.444,-0.0728,0.0265,0.444,0.0,0.0,0.8255,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20320929,55.2,64.1696,11133.76,637.1,-1061.31,-0.0728,0.0265,0.4438,-0.0728,0.0265,0.4438,55.2,64.1709,0.8237,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20321229,54.6,63.6036,10993.61,637.51,-4151.16,-0.0728,0.0265,0.4435,-0.0728,0.0265,0.4435,54.6,63.6049,0.8183,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20330329,54.0,62.9099,10853.8,638.05,-3130.73,-0.0729,0.0264,0.4439,-0.0729,0.0264,0.4439,54.0,62.9111,0.813,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20330629,55.2,64.0373,10717.19,636.32,-2113.45,-0.0728,0.0264,0.444,-0.0728,0.0264,0.444,55.2,64.0387,0.8076,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20330829,0.0,0.0,10540.76,636.73,-1058.91,-0.0728,0.0265,0.444,-0.0728,0.0265,0.444,0.0,0.0,0.8041,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20330929,55.2,64.1409,10573.97,632.05,-1061.28,-0.0728,0.0265,0.4437,-0.0728,0.0265,0.4437,55.2,64.1426,0.8023,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20331229,54.6,63.5433,10428.44,625.43,-4154.7,-0.0726,0.0267,0.4437,-0.0726,0.0267,0.4437,54.6,63.5452,0.797,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20340329,54.0,63.2655,10283.66,615.65,-3134.47,-0.0722,0.0271,0.4447,-0.0722,0.0271,0.4447,54.0,63.2677,0.7918,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20340629,55.2,65.7863,10143.73,605.18,-2117.19,-0.0721,0.0272,0.4447,-0.0721,0.0272,0.4447,55.2,65.7888,0.7864,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20340829,0.0,0.0,9966.58,603.02,-1060.85,-0.0721,0.0272,0.4448,-0.0721,0.0272,0.4448,0.0,0.0,0.7829,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20340929,55.2,65.9621,9998.56,596.75,-1063.29,-0.0721,0.0272,0.4446,-0.0721,0.0272,0.4446,55.2,65.9645,0.7811,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20341229,54.6,65.4155,9851.21,589.45,-4178.83,-0.0721,0.0272,0.4443,-0.0721,0.0272,0.4443,54.6,65.4179,0.7758,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20350329,54.0,64.5899,9704.11,582.07,-3157.15,-0.0723,0.0269,0.4445,-0.0723,0.0269,0.4445,54.0,64.5921,0.7706,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20350629,55.2,65.4021,9559.48,574.09,-2138.53,-0.0723,0.027,0.4443,-0.0723,0.027,0.4443,55.2,65.4046,0.7654,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
